run_name,experiment_id,architecture,test_path,weights_path_recorded,test_device,images,instances,precision,recall,map50,map50_95,rare_map50_95,car_map50_95,truck_map50_95,bus_map50_95,van_map50_95,freight_car_map50_95,preprocess_ms,inference_ms,postprocess_ms,forward_fps,train_model_source,initialization_cohort,train_device,seed,epochs_completed,best_val_epoch,best_val_map50_95,last_val_map50_95,checkpoint_mib,pareto_accuracy_fps
DarkAct_StaticMAA2DLAFMergeFeedbackRefine_P345_H2-4-8_RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12,DA-006,StaticMAA before stage + partial LAF + fused refine,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedbackRefine_P345_H2-4-8_RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedbackRefine_P345_H2-4-8_RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/weights/best.pt,7,8980,159614,0.81,0.81,0.84,0.708,0.6735,0.845,0.696,0.84,0.569,0.589,0.3,8.5,4.3,117.76,/media/biiteam/新加卷/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_staticmaa_laffeedback_refine_p345_e025_v1.pt,migrated_pretrained_checkpoint,"4,5",0,100,51,0.72835,0.72107,34.305397033691406,True
DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_PostC2f-MSK3-5-R4-PosBeta-DW3D1-2-2_v12,DA-004,Post-C2f StaticMAA + partial LAF feedback,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_PostC2f-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_PostC2f-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/weights/best.pt,7,8980,159614,0.805,0.811,0.841,0.708,0.67325,0.844,0.695,0.838,0.562,0.598,0.6,10.4,7.7,95.76,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_staticmaa_laffeedback_postc2f_p345_v1.pt,migrated_pretrained_checkpoint,"0,1",0,100,49,0.72754,0.7216,32.642313957214355,False
DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12,DA-005,Post-C2f StaticMAA + per-modal refine + partial LAF,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/weights/best.pt,7,8980,159614,0.809,0.814,0.838,0.707,0.6725,0.845,0.697,0.84,0.563,0.59,0.6,10.6,7.6,94.72,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v12/weights/last.pt,self_run_checkpoint,"0,1",0,100,56,0.72938,0.72536,35.96890735626221,False
DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_MSK3-5-R4-PosBeta-DW3D1-2-2_v22,DA-002,StaticMAA before stage + partial LAF feedback,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_MSK3-5-R4-PosBeta-DW3D1-2-2_v22/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_MSK3-5-R4-PosBeta-DW3D1-2-2_v22/weights/best.pt,7,8980,159614,0.807,0.814,0.838,0.706,0.6719999999999999,0.845,0.693,0.842,0.567,0.586,0.5,9.4,6.7,106.23,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_staticmaa_laffeedback_p345_h2-4-8_r4_v2.pt,migrated_pretrained_checkpoint,"0,1",0,100,62,0.72767,0.72354,32.643839836120605,False
DarkAct_LAFMergeFeedback2D_P345_H2-4-8_R4-DW3D1-2-2_v12,DA-007,LAF-only: partial-channel LAF feedback,DroneVehicle_OBB_FusionTransfer/DarkAct_LAFMergeFeedback2D_P345_H2-4-8_R4-DW3D1-2-2_v12/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_LAFMergeFeedback2D_P345_H2-4-8_R4-DW3D1-2-2_v12/weights/best.pt,0,8980,159614,0.808,0.805,0.838,0.705,0.66975,0.844,0.693,0.838,0.558,0.59,0.3,3.9,2.6,257.96,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_laffeedback2d_p345_r4_no_staticmaa_v1.pt,migrated_pretrained_checkpoint,"0,1",0,100,44,0.73317,0.72646,30.70673370361328,True
DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-SqrtHW_v3,DA-010,OBB-supervised target saliency + full-C PaperLAF (sqrt(HW) scaling),DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-SqrtHW_v3/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-SqrtHW_v3/weights/best.pt,6,8980,159614,0.817,0.803,0.838,0.705,0.67075,0.843,0.692,0.837,0.566,0.588,0.2,5.3,2.6,189.16,/media/biiteam/新加卷/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_sqrthw_v3.pt,migrated_pretrained_checkpoint,"0,7",0,100,56,0.73406,0.72647,47.61038684844971,False
DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-L2Norm-LearnTemp0p2_v4,DA-011,OBB-supervised target saliency + full-C PaperLAF (L2 + learnable temperature),DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-L2Norm-LearnTemp0p2_v4/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn-L2Norm-LearnTemp0p2_v4/weights/best.pt,6,8980,159614,0.809,0.807,0.837,0.705,0.6705,0.844,0.693,0.838,0.565,0.586,0.3,5.3,2.6,187.65,/media/biiteam/新加卷/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_l2temp_v4.pt,migrated_pretrained_checkpoint,"4,5",0,100,56,0.73086,0.7272,47.612067222595215,False
DarkAct_PaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-StaticMAA_v32,DA-003,StaticMAA + full-C PaperLAF feedback,DroneVehicle_OBB_FusionTransfer/DarkAct_PaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-StaticMAA_v32/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_PaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-StaticMAA_v32/weights/best.pt,7,8980,159614,0.819,0.805,0.837,0.705,0.6705,0.843,0.692,0.841,0.569,0.58,0.2,5.5,2.7,183.12,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_staticmaa_paperlaf_fullc_p345_v3.pt,migrated_pretrained_checkpoint,"0,1",0,100,60,0.7327,0.72924,47.92430114746094,False
DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn_v2,DA-009,OBB-supervised target saliency + full-C PaperLAF (FP32 attention),DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn_v2/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_TargetSaliencyPaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-OBBMaskS-FP32Attn_v2/weights/best.pt,6,8980,159614,0.808,0.812,0.837,0.704,0.6689999999999999,0.843,0.692,0.837,0.564,0.583,0.4,7.4,3.9,134.96,/media/biiteam/新加卷/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_target_saliency_paperlaf_p345_fp32safe_v2.pt,migrated_pretrained_checkpoint,"4,5",0,100,53,0.7335,0.72736,47.61008167266846,False
DarkAct_MAA2DLAFMerge_P345_H2-4-8_StaticSaliency-R4-DW3D1-2-2_v12,DA-001,Initial static-saliency MAA2D + partial LAF,DroneVehicle_OBB_FusionTransfer/DarkAct_MAA2DLAFMerge_P345_H2-4-8_StaticSaliency-R4-DW3D1-2-2_v12/test_result/test.txt,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/DroneVehicle_OBB_FusionTransfer/DarkAct_MAA2DLAFMerge_P345_H2-4-8_StaticSaliency-R4-DW3D1-2-2_v12/weights/best.pt,0,8980,159614,0.812,0.804,0.834,0.701,0.6657500000000001,0.843,0.684,0.84,0.558,0.581,0.3,4.1,2.7,244.44,/media/biiteam/新加卷1/biiteam/MCONG/Yolov8_TwoStream/pre-pth/yolov8s-obb_twostream_darkact_maa2d_lafmerge_p345_h2-4-8_r4.pt,migrated_pretrained_checkpoint,"0,1",0,100,55,0.72306,0.71529,30.72299098968506,False
