id,family,title,parent_id,status,recovery_confidence,version,stages,heads,architecture_summary,change_from_parent,model_yaml,train_entrypoint,migration_script,init_checkpoint,trainer_class,output_project,output_name,current_run_dir,legacy_run_dir,attempt_count,epochs_completed,epochs_target,test_map50,test_map50_95,manifest
ASSA-001,ASSANet,P3/P4/P5 动态 ASSAFusion,BL-001,interrupted,confirmed,v1,"P3,P4,P5",H2-4-8,"P3/P4/P5 ASSAFusion(DynK3, FFN2) -> ADD",将三个尺度进入共享 neck 前的直接模态融合替换为带 DynK3 和 FFN2 的 ASSAFusion 交互后 ADD。,yaml/yolov8s-ASSAFusion.yaml,train_dronevehicle_assafusion_p345.py,,pre-pth/yolov8s-obb_twostream.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,ASSANet_ASSAFusion_P345_H2-4-8_DynK3-FFN2_v1,DroneVehicle_OBB_FusionTransfer/ASSANet_ASSAFusion_P345_H2-4-8_DynK3-FFN2_v1,DroneVehicle_OBB_FusionTransfer/ASSANet_ASSAFusion_P345_H2-4-8_DynK3-FFN2_v1,1,0,100,,,experiments/assanet/manifests/ASSA-001.yaml
ASSA-002,ASSANet,仅 P4 静态 DW 无 FFN 的 ASSAFusion,ASSA-001,interrupted,confirmed,v1,"P3,P4,P5",H4,"P4 ASSAFusion(StaticDW K3, NoFFN); P3/P5 identity",仅保留 P4、4 heads 的跨模态注意力，将动态局部投影改为 StaticDW K3，并删除 FFN；P3/P5 恢复恒等双流传递。,yaml/yolov8s-ASSAFusion-P4-StaticDW-NoFFN.yaml,train_dronevehicle.py,,pre-pth/yolov8s-obb_twostream_assafusion_p4_staticdw_noffn.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,ASSANet_ASSAFusion_P4_H4_StaticDW-NoFFN_v1,DroneVehicle_OBB_FusionTransfer/ASSANet_ASSAFusion_P4_H4_StaticDW-NoFFN_v1,DroneVehicle_OBB_FusionTransfer/ASSANet_ASSAFusion_P4_H4_StaticDW-NoFFN_v1,1,0,100,,,experiments/assanet/manifests/ASSA-002.yaml
ASSA-003,ASSANet,P3/P4 部分通道静态 ASSAFusion,ASSA-001,interrupted,confirmed,v1,"P3,P4,P5",H2-4,"P3/P4 PartialChannelASSAFusion(R4, StaticDW K3, NoFFN)",P3/P4 改为 C/4 部分通道、StaticDW K3、无 FFN 的 ASSAFusion，移除 P5 注意力。,yaml/yolov8s-PartialChannelASSAFusion-P34-R4-StaticDW-NoFFN.yaml,train_dronevehicle2.py,,pre-pth/yolov8s-obb_twostream_partialchannel_assafusion_p34_r4_staticdw_noffn.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,ASSANet_PartialChannelASSAFusion_P34_H2-4_R4-StaticDW-NoFFN_v1,DroneVehicle_OBB_FusionTransfer/ASSANet_PartialChannelASSAFusion_P34_H2-4_R4-StaticDW-NoFFN_v1,DroneVehicle_OBB_FusionTransfer/ASSANet_PartialChannelASSAFusion_P34_H2-4_R4-StaticDW-NoFFN_v1,1,0,100,,,experiments/assanet/manifests/ASSA-003.yaml
BL-001,Baseline,YOLOv8s RGB/IR 双流 ADD 基线,,tested,confirmed,v1,"P3,P4,P5",HNA,RGB C2f + IR C2f_Faster -> P3/P4/P5 ADD,首个登记的 RGB/IR 双流 OBB 基线实验。,yaml/baseline.yaml,train_dronevehicle_baseline.py,,pre-pth/yolov8s-obb_twostream_baseline.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs_baseline,train,runs_baseline/train,runs_baseline/train,1,100,100,0.812,0.67,experiments/baseline/manifests/BL-001.yaml
BL-002,Baseline,ADD 后 P3/P4/P5 BottleneckRefine 基线,BL-001,interrupted,confirmed,v1,"P3,P4,P5",HNA,RGB/IR -> P3/P4/P5 ADD -> BottleneckRefine,在 P3、P4、P5 的 ADD 输出后分别增加一个 e=0.5、卷积核 1x1/3x3 的 Bottleneck 精炼块。,yaml/yolov8s-baseline-ADD-P345-BottleneckRefine.yaml,train_dronevehicle_baseline_add_bottleneck_refine.py,tools/make_twostream_obb_weights.py,pre-pth/yolov8s-obb_twostream_baseline_add_p345_bottleneck_refine.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,YOLOv8_BottleneckRefine_P345_HNA_E0p5-K1-3_v1,DroneVehicle_OBB_FusionTransfer/YOLOv8_BottleneckRefine_P345_HNA_E0p5-K1-3_v1,DroneVehicle_OBB_FusionTransfer/YOLOv8_BottleneckRefine_P345_HNA_E0p5-K1-3_v1,1,0,100,,,experiments/baseline/manifests/BL-002.yaml
DA-001,DarkAct,MAA2D 与 LAFMerge2D 初始迁移版,,tested,recovered,v1,"P3,P4,P5",H2-4-8,MAA2D -> C2f/SPPF -> LAFMerge2D,首个 DarkAct 单帧 MAA2D 与 partial-channel LAF 迁移。,yaml/yolov8s-DarkAct-MAA2D-LAFMerge-P345-R4.yaml,,,pre-pth/yolov8s-obb_twostream_darkact_maa2d_lafmerge_p345_h2-4-8_r4.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_MAA2DLAFMerge_P345_H2-4-8_StaticSaliency-R4-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_MAA2DLAFMerge_P345_H2-4-8_StaticSaliency-R4-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_MAA2DLAFMerge_P345_H2-4-8_StaticSaliency-R4-DW3D1-2-2_v1,1,100,100,0.815,0.673,experiments/darkact/manifests/DA-001.yaml
DA-002,DarkAct,StaticMAA2D 与 LAF 反馈版,DA-001,tested,confirmed,v2,"P3,P4,P5",H2-4-8,StaticMAA2D -> C2f/SPPF -> LAFMergeFeedback2D,用 StaticMAA2D 替代 MAA2D，并将 LAF 修正反馈到后续 backbone。,yaml/yolov8s-DarkAct-MAA2D-LAFMerge-P345-R4-v2.yaml,train_dronevehicle_darkact_maalaf.py,tools/make_twostream_obb_weights_darkact_v2.py,pre-pth/yolov8s-obb_twostream_darkact_staticmaa_laffeedback_p345_h2-4-8_r4_v2.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_MSK3-5-R4-PosBeta-DW3D1-2-2_v2,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_MSK3-5-R4-PosBeta-DW3D1-2-2_v2,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_MSK3-5-R4-PosBeta-DW3D1-2-2_v2,1,100,100,0.824,0.683,experiments/darkact/manifests/DA-002.yaml
DA-003,DarkAct,Full-C 论文式 PaperLAF 版,DA-002,tested,confirmed,v3,"P3,P4,P5",HNA,StaticMAA2D + stage features -> full-C PaperLAFMergeFeedback2D,将 partial-channel LAF 替换为完整通道 PaperLAFMergeFeedback2D。,yaml/yolov8s-DarkAct-MAA2D-LAFMerge-P345-R4-v3.yaml,train_dronevehicle_darkact_maalaf_v3.py,tools/make_twostream_obb_weights_darkact_v3.py,pre-pth/yolov8s-obb_twostream_darkact_staticmaa_paperlaf_fullc_p345_v3.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_PaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-StaticMAA_v3,DroneVehicle_OBB_FusionTransfer/DarkAct_PaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-StaticMAA_v3,DroneVehicle_OBB_FusionTransfer/DarkAct_PaperLAFMergeFeedback2D_P345_HNA_FullC-DilK3-PoolK3-StaticMAA_v3,1,100,100,0.816,0.675,experiments/darkact/manifests/DA-003.yaml
DA-004,DarkAct,Post-C2f StaticMAA 与 LAF 反馈版,DA-002,tested,confirmed,v1,"P3,P4,P5",H2-4-8,C2f/SPPF -> StaticMAA2D -> LAFMergeFeedback2D,将 StaticMAA2D 后移到各尺度 C2f/SPPF 之后。,yaml/yolov8s-DarkAct-MAA2D-LAFMerge-P345-R4-PostC2f-v1.yaml,train_dronevehicle_darkact_maalaf_postc2f.py,tools/make_twostream_obb_weights_darkact_postc2f.py,pre-pth/yolov8s-obb_twostream_darkact_staticmaa_laffeedback_postc2f_p345_v1.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_PostC2f-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_PostC2f-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DLAFMergeFeedback_P345_H2-4-8_PostC2f-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,1,100,100,0.822,0.683,experiments/darkact/manifests/DA-004.yaml
DA-005,DarkAct,Post-C2f 每模态融合前精炼版,DA-004,tested,confirmed,v1,"P3,P4,P5",H2-4-8,C2f/SPPF -> StaticMAA2D -> per-modal ZeroInitRefine -> LAF feedback,在 MAA 后、LAF 前为 RGB/IR 分别加入零初始化残差精炼。,yaml/yolov8s-DarkAct-MAA2D-Refine-LAFMerge-P345-R4-PostC2f-v1.yaml,train_dronevehicle_darkact_maalaf_postc2f_refine.py,tools/make_twostream_obb_weights_darkact_postc2f_refine.py,pre-pth/yolov8s-obb_twostream_darkact_staticmaa_refine_laffeedback_postc2f_p345_e025_v1.pt,ultralytics.models.yolo.obb.train:OBBTrainer,runs/DroneVehicle_OBB_FusionTransfer,DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,DroneVehicle_OBB_FusionTransfer/DarkAct_StaticMAA2DRefineLAFMergeFeedback_P345_H2-4-8_PostC2f-RefineE0p25-K1-3-G0-MSK3-5-R4-PosBeta-DW3D1-2-2_v1,1,100,100,0.824,0.685,experiments/darkact/manifests/DA-005.yaml
